Tulane,North Carolina,-20,-8.69,15.89,
North Carolina,Tulane,20,15.89,-8.69,
Harvard,Stanford,-10,6.39,-0.62,
Stanford,Harvard,10,-0.62,6.39,
Florida,Florida Gulf Coast,21,13.67,9.76,
Florida Gulf Coast,Florida,-21,9.76,13.67,
Tennessee State,UC-Davis,14,3.93,1.59,
UC-Davis,Tennessee State,-14,1.59,3.93,
Marquette,Vanderbilt,24,7.77,1.81,
Vanderbilt,Marquette,-24,1.81,7.77,
Michigan State,Arizona,-2,2.56,11.39,
Arizona,Michigan State,2,11.39,2.56,
Florida Atlantic,Texas State,-4,-1.84,4.04,
Texas State,Florida Atlantic,4,4.04,-1.84,
Kansas,Indiana,-4,10.74,8.59,
Indiana,Kansas,4,8.59,10.74,
Tennessee State,Northern Arizona,4,3.93,-7.81,
Northern Arizona,Tennessee State,-4,-7.81,3.93,
Kent State,Cleveland State,5,4.93,-4.64,
Cleveland State,Kent State,-5,-4.64,4.93,
Florida Atlantic,Southern Illinois-Edwardsville,-9,-1.84,-8.86,
Southern Illinois-Edwardsville,Florida Atlantic,9,-8.86,-1.84,
Mercer,Florida,-22,2.75,13.67,
Florida,Mercer,22,13.67,2.75,
Northern Arizona,UC-Davis,-13,-7.81,1.59,
UC-Davis,Northern Arizona,13,1.59,-7.81,
Texas State,Southern Illinois-Edwardsville,28,4.04,-8.86,
Southern Illinois-Edwardsville,Texas State,-28,-8.86,4.04,
Kentucky,Michigan State,21,15.59,2.56,
Michigan State,Kentucky,-21,2.56,15.59,
Kansas,Duke,2,10.74,13.41,
Duke,Kansas,-2,13.41,10.74,
Long Island University,Loyola (MD),4,1.83,-2.54,
Loyola (MD),Long Island University,-4,-2.54,1.83,
Missouri,Xavier,-1,-2.69,4.11,
Xavier,Missouri,1,4.11,-2.69,
Oklahoma,Tulane,19,-1.42,-8.69,
Tulane,Oklahoma,-19,-8.69,-1.42,
Villanova,Western Michigan,11,14.82,-1.69,
Western Michigan,Villanova,-11,-1.69,14.82,
Texas-El Paso,Wake Forest,-22,0.23,4.85,
Wake Forest,Texas-El Paso,22,4.85,0.23,
Pittsburgh,Southern Methodist,-9,0.22,14.21,
Southern Methodist,Pittsburgh,9,14.21,0.22,
Florida,St. Bonaventure,7,13.67,5.12,
St. Bonaventure,Florida,-7,5.12,13.67,
Central Florida,Mississippi State,25,6.78,2.31,
Mississippi State,Central Florida,-25,2.31,6.78,
Clemson,Davidson,17,3.46,3.68,
Davidson,Clemson,-17,3.68,3.46,
Arizona State,Northern Iowa,-19,-2.32,-1.48,
Northern Iowa,Arizona State,19,-1.48,-2.32,
